序号,景区ID,景区名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,景观分类,景区意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词 · Suno/Udio/即梦),AI Music Prompt (English · Suno/Udio/MusicFX),Midjourney / 画面视觉生成提示词 (Visual Prompt)
11,shirakawago,白川乡合掌村,Shirakawa-go Village,日本,日本 · 岐阜县,古镇水乡 / 历史村落,宛如童话森林般的茅草合掌造屋舍，隐匿在群山叠翠与冬日暖雪之间。炊烟袅袅，抚平世俗的喧嚣。,合掌造、童话山村、日式风吕、世外桃源,64,日式In-sen调 · 宁静,尺八 · 钢片琴 · 微风风铃 · 温暖和弦,山间清风 / 微风拂过,日式禅意环境音、尺八与温暖钢琴、风铃微动、木屋炊烟、治愈安眠、BPM 64、日式In-sen调 · 宁静、山间清风 / 微风拂过、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Shirakawa-go Village (白川乡合掌村), 日本 · 岐阜县, breathtaking view, 合掌造, 童话山村, 日式风吕, 世外桃源, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
12,hallstatt,哈尔施塔特湖畔小镇,Hallstatt Lakeside Village,奥地利,奥地利 · 萨尔茨卡默古特,古镇水乡 / 历史村落,依山傍水的阿尔卑斯明珠。木屋层叠倒映在碧绿的湖光中，天鹅划开微波，仿佛掉进了欧洲古典童话之中。,童话小镇、阿尔卑斯湖泊、木屋花台、古典浪漫,72,Acoustic Folk · D Major,原声大提琴 · 竖琴 · 湖水拍岸,环境声场,欧洲湖畔小镇古典纯乐、竖琴与提琴、宁静湖水、晨光洒落、唯美浪漫、BPM 72、Acoustic Folk · D Major、环境声场、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 72 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Hallstatt Lakeside Village (哈尔施塔特湖畔小镇), 奥地利 · 萨尔茨卡默古特, breathtaking view, 童话小镇, 阿尔卑斯湖泊, 木屋花台, 古典浪漫, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
13,florence,佛罗伦萨 · 阿尔诺河老桥,Florence Ponte Vecchio,意大利,意大利 · 托斯卡纳,古镇水乡 / 历史村落,文艺复兴的心脏。阿尔诺河在老桥下静静流淌，圣母百花大教堂的红色穹顶沐浴在托斯卡纳的金色夕阳中，散发着诗性光辉。,文艺复兴、老桥晚霞、托斯卡纳、古典艺术,68,Renaissance Romance · G Major,羽管键琴 · 古典提琴 · 河水微漾,环境声场,意大利托斯卡纳古典器乐、大提琴与小提琴、文艺复兴浪漫、黄昏夕阳、BPM 68、Renaissance Romance · G Major、环境声场、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 68 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Florence Ponte Vecchio (佛罗伦萨 · 阿尔诺河老桥), 意大利 · 托斯卡纳, breathtaking view, 文艺复兴, 老桥晚霞, 托斯卡纳, 古典艺术, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
14,meili,梅里雪山 · 卡瓦格博,Meili Snow Mountain,中国,中国 · 云南德钦,名山胜岳 / 巍峨雪峰,神圣不可侵犯的十三峰，当第一缕金色晨光洒在主峰卡瓦格博雪顶，日照金山的壮美足以震撼每一个瞻仰者的灵魂。,日照金山、雪山之神、藏传朝圣、神圣静谧,56,432Hz 颂钵 Pad · 降E大调,西藏颂钵 · 环境氛围合成器 · 远山松风 · 铜钦低音,山间清风 / 微风拂过,空灵辽阔雪山、西藏颂钵、低沉合成器Pad、日照金山神圣感、低节奏深度冥想、BPM 56、432Hz 颂钵 Pad · 降E大调、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 56 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Meili Snow Mountain (梅里雪山 · 卡瓦格博), 中国 · 云南德钦, breathtaking view, 日照金山, 雪山之神, 藏传朝圣, 神圣静谧, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
15,yulong,玉龙雪山 · 蓝月谷,Jade Dragon Snow Mountain,中国,中国 · 云南丽江,名山胜岳 / 巍峨雪峰,十三座银峰晶莹连绵如玉龙腾跃。山脚下蓝月谷水如凝碧宝石，雪水潺潺流过白水台，清澈透亮沁人心脾。,蓝月谷、冰川公园、纳西神山、雪山倒影,60,清澈高原调 · C大调,清脆钢琴 · 冰晶音色 · 谷间清风,山间清风 / 微风拂过,晶莹清澈的雪山钢琴曲、空灵冰晶音色、流水与微风、纯净专注背景乐、BPM 60、清澈高原调 · C大调、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Jade Dragon Snow Mountain (玉龙雪山 · 蓝月谷), 中国 · 云南丽江, breathtaking view, 蓝月谷, 冰川公园, 纳西神山, 雪山倒影, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
16,kailash,冈仁波齐 · 万山之祖,Mount Kailash,中国,中国 · 西藏阿里,名山胜岳 / 巍峨雪峰,世界的中心，众神的居所。金字塔般的对称雪峰耸立在苍穹之上，经幡在狂风中猎猎作响，转山者的脚步沉稳而坚定。,世界中心、转山朝圣、神圣金字塔、极致空灵,52,528Hz 宇宙共振 · 无调性,深沉回响颂钵 · 经幡狂风 · 低频共鸣,山间清风 / 微风拂过,西藏神山阿里无人区氛围音乐、528Hz冥想颂钵、深邃宇宙回响、无节拍纯静心、BPM 52、528Hz 宇宙共振 · 无调性、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 52 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Kailash (冈仁波齐 · 万山之祖), 中国 · 西藏阿里, breathtaking view, 世界中心, 转山朝圣, 神圣金字塔, 极致空灵, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
17,yading,稻城亚丁 · 仙乃日三神山,Daocheng Yading,中国,中国 · 四川甘孜,名山胜岳 / 巍峨雪峰,仙乃日、央迈勇、夏诺多吉三座神山护佑着牛奶海与五色海。草甸金黄，溪流清冽，仿佛遗落在人间的香格里拉。,香格里拉、牛奶海、三怙主神山、绝美秋色,62,高原民谣 · G大调,清脆木吉他 · 空灵弦乐组 · 高原鹰鸣,山间清风 / 微风拂过,香格里拉原生态纯音乐、木吉他与宽广弦乐、高原微风、治愈释放、BPM 62、高原民谣 · G大调、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 62 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Daocheng Yading (稻城亚丁 · 仙乃日三神山), 中国 · 四川甘孜, breathtaking view, 香格里拉, 牛奶海, 三怙主神山, 绝美秋色, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
18,gongga,贡嘎雪山 · 蜀山之王,Mount Gongga (Minya Konka),中国,中国 · 四川康定,名山胜岳 / 巍峨雪峰,海拔7556米的蜀山之王，金字塔状的主峰直插天际。海螺沟冰瀑布宛若银河凝固倾泻，冷嘎措倒映着无与伦比的雪山圣影。,蜀山之王、海螺沟冰川、冷嘎措倒影、巍峨险峻,54,川西高原调 · 宽广宏大,大提琴低鸣 · 高原长号 · 冰川风啸,山间清风 / 微风拂过,贡嘎雪山宏伟交响氛围乐、大提琴长弓、冰川呼啸风声、广袤壮丽、BPM 54、川西高原调 · 宽广宏大、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 54 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Gongga (Minya Konka) (贡嘎雪山 · 蜀山之王), 中国 · 四川康定, breathtaking view, 蜀山之王, 海螺沟冰川, 冷嘎措倒影, 巍峨险峻, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
19,siguniang,四姑娘山 · 东方圣山,Mount Siguniang (Four Sisters),中国,中国 · 四川阿坝小金,名山胜岳 / 巍峨雪峰,四座白雪皑皑的山峰亭亭玉立在长坪沟与双桥沟上方。草甸、红杉、沙棘林环绕，被誉为东方的阿尔卑斯。,东方阿尔卑斯、双桥沟、攀冰圣地、纯净草甸,64,Acoustic Nature · E Major,原声民谣吉他 · 溪流潺潺 · 冰雪微风,山间清风 / 微风拂过,四姑娘山清新民谣纯乐、原声吉他、山间溪流、阳光松林、放松惬意、BPM 64、Acoustic Nature · E Major、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Siguniang (Four Sisters) (四姑娘山 · 东方圣山), 中国 · 四川阿坝小金, breathtaking view, 东方阿尔卑斯, 双桥沟, 攀冰圣地, 纯净草甸, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
20,everest,珠穆朗玛峰 · 世界之巅,Mount Everest (Qomolangma),中国,中国/尼泊尔 · 日喀则定日,名山胜岳 / 巍峨雪峰,海拔8848.86米的世界屋脊。绒布寺前仰望巨大的北壁金字塔，在八千米之上的狂风与稀薄空气中，感受对大自然最极致的敬畏。,世界之巅、珠峰大本营、日照金山、极限之境,50,Epic Drone · 432Hz,宇宙深空合成器 · 极低频风鸣 · 西藏铜钦,山间清风 / 微风拂过,世界屋脊珠穆朗玛峰史诗氛围音乐、极低频风鸣、深邃宇宙回响、震撼敬畏、BPM 50、Epic Drone · 432Hz、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 50 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Everest (Qomolangma) (珠穆朗玛峰 · 世界之巅), 中国/尼泊尔 · 日喀则定日, breathtaking view, 世界之巅, 珠峰大本营, 日照金山, 极限之境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
21,fuji,富士山 · 富士五湖,Mount Fuji & Fuji Five Lakes,日本,日本 · 山梨/静冈,名山胜岳 / 巍峨雪峰,完美的对称火山锥，山顶终年白雪皑皑。河口湖畔樱花盛开或红叶满山，倒影在宁静的湖面中，静谧祥和。,逆富士、樱花雪峰、日式极简、河口湖畔,60,日式雅乐调 · 432Hz,日本筝 · 柔美长笛 · 湖面微风,山间清风 / 微风拂过,富士山日式禅乐、日本筝与清柔长笛、微风拂过湖水、静心专注、BPM 60、日式雅乐调 · 432Hz、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Fuji & Fuji Five Lakes (富士山 · 富士五湖), 日本 · 山梨/静冈, breathtaking view, 逆富士, 樱花雪峰, 日式极简, 河口湖畔, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
22,matterhorn,马特洪峰 · 阿尔卑斯之巅,Matterhorn Alpine Peak,瑞士,瑞士 · 采尔马特,名山胜岳 / 巍峨雪峰,阿尔卑斯山脉中最具辨识度的锥形巨峰。清晨第一缕阳光将其点燃成金色火炬，里弗尔湖中倒映着孤傲的身影。,阿尔卑斯之王、黄金日出、冰川列车、极致壮阔,58,Epic Ambient · D Minor,温暖圆号长音 · 空间合成器Pad · 冰川风啸,山间清风 / 微风拂过,瑞士阿尔卑斯山宏伟纯音乐、温暖圆号与空间Pad、清冷辽阔、沉浸式静谧、BPM 58、Epic Ambient · D Minor、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 58 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Matterhorn Alpine Peak (马特洪峰 · 阿尔卑斯之巅), 瑞士 · 采尔马特, breathtaking view, 阿尔卑斯之王, 黄金日出, 冰川列车, 极致壮阔, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
23,lofoten,罗弗敦群岛 · 极光与雪山,Lofoten Islands & Aurora,挪威,挪威 · 诺尔兰郡,名山胜岳 / 巍峨雪峰,北极圈内的壮丽峡湾与险峻雪峰。红色渔屋矗立在冰海之滨，冬季绿色的北极光在繁星与雪巅上跳起天幕之舞。,北极极光、峡湾雪峰、红色渔屋、极夜奇观,56,Nordic Drone · E Minor,北欧大提琴 · 极光音效Pad · 北冰洋拍岸浪,环境声场,北欧极光氛围纯音乐、空灵大提琴、冰洋微浪、清冷神圣、助眠冥想、BPM 56、Nordic Drone · E Minor、环境声场、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 56 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Lofoten Islands & Aurora (罗弗敦群岛 · 极光与雪山), 挪威 · 诺尔兰郡, breathtaking view, 北极极光, 峡湾雪峰, 红色渔屋, 极夜奇观, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
24,sanya,三亚蜈支洲岛 · 蔚蓝之境,Sanya Wuzhizhou Island,中国,中国 · 海南三亚,海滨海岛 / 蔚蓝海域,中国版马尔代夫。果冻般通透的蔚蓝海水轻抚细白沙滩，椰林随海风婆娑起舞，落日将整片天空染成蜜桃粉金。,果冻海、椰梦长廊、热带落日、海边度假,72,Bossa Nova · F Major,轻快尼龙吉他 · 柔美电钢琴 · 潮汐白噪音 · 椰林风声,环境声场,热带海岛Bossa Nova纯乐、轻快尼龙吉他、柔美电钢琴、真实海浪潮汐、夏日治愈、BPM 72、Bossa Nova · F Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 72 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Sanya Wuzhizhou Island (三亚蜈支洲岛 · 蔚蓝之境), 中国 · 海南三亚, breathtaking view, 果冻海, 椰梦长廊, 热带落日, 海边度假, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
25,weizhou,涠洲岛 · 火山岩鳄鱼山,Weizhou Island Volcano Coast,中国,中国 · 广西北海,海滨海岛 / 蔚蓝海域,中国最大最年轻的火山岛。黑色玄武岩海蚀崖壁与翡翠色海水激烈碰撞，暮崖落日将无边大海照耀得金光灿烂。,火山地质、暮崖日落、海蚀奇观、南国海岛,68,Sunset Acoustic · G Major,原声吉他扫弦 · 潮汐微澜 · 南国海风,环境声场,海岛黄昏吉他民谣纯乐、海浪拍岸、温暖夕阳、松弛自得、BPM 68、Sunset Acoustic · G Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 68 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Weizhou Island Volcano Coast (涠洲岛 · 火山岩鳄鱼山), 中国 · 广西北海, breathtaking view, 火山地质, 暮崖日落, 海蚀奇观, 南国海岛, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
